text,word,sentence,indexloc,compname
2019 年 5 月 14 日 会社 名 株式会社 ビーイング 代表 者 名 代表 取締役 会長 兼 社長 津田 能成 （ コード 番号 ： 4734 スタンダード ） 問合せ 先 常務 取締役 経理 部長 後藤 伸 悟 （ ０ ５ ９ － ２ ２ ７ － ２ ９ ３ ２ ） 各位 株式会社 ラグザイア の 株式 取得 及び 簡易 株式 交換 （ 完全 子会社 化 ） に関する お知らせ 当社 は 、 本日 開催 の 取締役 会 において 、 当社 を 株式 交換 完全 親会社 、 株式会社 ラグザイア （ 以下 、 「 ラグザイア 」 と いい ます 。 ） を 株式 交換 完全 子会社 と する 簡易 株式 交換 （ 以下 、 「 本 株式 交換 」 と いい ます 。 ） を 実施 する こと を 決議 し 、 本日 、 ラグザイア と の 間 で 株式 交換 契約 を 締結 いたし まし た ので 、 下記 の とおり お知らせ いたし ます 。 本 株式 交換 は 、 会社 法 第 796 条 第 ２ 項 の 規定 に 基づき 、 当社 の 株主 総会 の 承認 を 必要 と,2019,4,0,
,年,4,1,
,5,4,2,
,月,4,3,
,14,4,4,
,日,4,5,
,会社,4,6,
,名,4,7,
,株式会社,4,8,
,ビーイング,4,9,
,代表,4,10,
,者,4,11,
,名,4,12,
,代表,4,13,
,取締役,4,14,
,会長,4,15,
,兼,4,16,
,社長,4,17,
,津田,4,18,
,能成,4,19,
,（,4,20,
,コード,4,21,
,番号,4,22,
,：,4,23,
,4734,4,24,
,スタンダード,4,25,
,）,4,26,
,問合せ,4,27,
,先,4,28,
,常務,4,29,
,取締役,4,30,
,経理,4,31,
,部長,4,32,
,後藤,4,33,
,伸,4,34,
,悟,4,35,
,（,4,36,
,0,4,37,
,5,4,38,
,9,4,39,
,－,4,40,
,2,4,41,
,2,4,42,
,7,4,43,
,－,4,44,
,2,4,45,
,9,4,46,
,3,4,47,
,2,4,48,
,）,4,49,
,各位,4,50,
,株式会社,4,51,
,ラグザイア,4,52,1
,の,4,53,
,株式,4,54,
,取得,4,55,
,及び,4,56,
,簡易,4,57,
,株式,4,58,
,交換,4,59,
,（,4,60,
,完全,4,61,
,子会社,4,62,
,化,4,63,
,）,4,64,
,に関する,4,65,
,お知らせ,4,66,
,当社,4,67,
,は,4,68,
,、,4,69,
,本日,4,70,
,開催,4,71,
,の,4,72,
,取締役,4,73,
,会,4,74,
,において,4,75,
,、,4,76,
,当社,4,77,
,を,4,78,
,株式,4,79,
,交換,4,80,
,完全,4,81,
,親会社,4,82,
,、,4,83,
,株式会社,4,84,
,ラグザイア,4,85,1
,（,4,86,
,以下,4,87,
,、,4,88,
,「,4,89,
,ラグザイア,4,90,1
,」,4,91,
,と,4,92,
,いい,4,93,
,ます,4,94,
,。,4,95,
,）,4,96,
,を,4,97,
,株式,4,98,
,交換,4,99,
,完全,4,100,
,子会社,4,101,
,と,4,102,
,する,4,103,
,簡易,4,104,
,株式,4,105,
,交換,4,106,
,（,4,107,
,以下,4,108,
,、,4,109,
,「,4,110,
,本,4,111,
,株式,4,112,
,交換,4,113,
,」,4,114,
,と,4,115,
,いい,4,116,
,ます,4,117,
,。,4,118,
,）,4,119,
,を,4,120,
,実施,4,121,
,する,4,122,
,こと,4,123,
,を,4,124,
,決議,4,125,
,し,4,126,
,、,4,127,
,本日,4,128,
,、,4,129,
,ラグザイア,4,130,1
,と,4,131,
,の,4,132,
,間,4,133,
,で,4,134,
,株式,4,135,
,交換,4,136,
,契約,4,137,
,を,4,138,
,締結,4,139,
,いたし,4,140,
,まし,4,141,
,た,4,142,
,ので,4,143,
,、,4,144,
,下記,4,145,
,の,4,146,
,とおり,4,147,
,お知らせ,4,148,
,いたし,4,149,
,ます,4,150,
,。,4,151,
,本,4,152,
,株式,4,153,
,交換,4,154,
,は,4,155,
,、,4,156,
,会社,4,157,
,法,4,158,
,第,4,159,
,796,4,160,
,条,4,161,
,第,4,162,
,2,4,163,
,項,4,164,
,の,4,165,
,規定,4,166,
,に,4,167,
,基づき,4,168,
,、,4,169,
,当社,4,170,
,の,4,171,
,株主,4,172,
,総会,4,173,
,の,4,174,
,承認,4,175,
,を,4,176,
,必要,4,177,
,と,4,178,
（ 開示 事項 の 経過 報告 ） 連結 子会社 の 異動 を 伴う 株式 譲渡 契約 締結 に関する お知らせ 形式 2209,（,5,0,
,開示,5,1,
,事項,5,2,
,の,5,3,
,経過,5,4,
,報告,5,5,
,）,5,6,
,連結,5,7,
,子会社,5,8,
,の,5,9,
,異動,5,10,
,を,5,11,
,伴う,5,12,
,株式,5,13,
,譲渡,5,14,
,契約,5,15,
,締結,5,16,
,に関する,5,17,
,お知らせ,5,18,
,形式,5,19,
,2209,5,20,
各位 2019 年 ５月 13 日 会社 名 株式会社 エフティグループ 代表 者 名 代表 取締役 社長 石田 誠 （ ＪＡＳＤＡＱ ・ コード 番号 ： ２ ７ ６ ３ ） 問合せ 先 取締役 常務 執行 役員 山本 博之 電話 ０ ３ （ ５ ８ ４ ７ ） ２ ７ ７ ７ （ 代表 ） （ 開示 事項 の 経過 報告 ） 連結 子会社 の 異動 を 伴う 株式 譲渡 契約 締結 に関する お知らせ 当社 は 本日 開催 の 取締役 会 において 、 2019 年 ３月 25 日 付 「 連結 子会社 の 異動 （ 株式 譲渡 ） に関する 基本 合意 契約 締結 に関する お知らせ 」 にて 公表 し た 通り 、 タイ 王国 ・ フィリピン 共和 国 ・ インドネシア 共和 国 の 連結 子会社 ４ 社 の 当社 が 保有 する 株式 の 80 ％ を レ カム 株式会社 （ 以下 、 「 レ カム 社 」 と いう 。 ） に 譲渡 する こと に関する 株式 譲渡 契約 書 の 締結 を 決議 いたし まし た ので 、 下記 の とおり お知らせ いたし ます 。 記,各位,6,0,
,2019,6,1,
,年,6,2,
,５月,6,3,
,13,6,4,
,日,6,5,
,会社,6,6,
,名,6,7,
,株式会社,6,8,
,エフティグループ,6,9,
,代表,6,10,
,者,6,11,
,名,6,12,
,代表,6,13,
,取締役,6,14,
,社長,6,15,
,石田,6,16,
,誠,6,17,
,（,6,18,
,ＪＡＳＤＡＱ,6,19,
,・,6,20,
,コード,6,21,
,番号,6,22,
,：,6,23,
,2,6,24,
,7,6,25,
,6,6,26,
,3,6,27,
,）,6,28,
,問合せ,6,29,
,先,6,30,
,取締役,6,31,
,常務,6,32,
,執行,6,33,
,役員,6,34,
,山本,6,35,
,博之,6,36,
,電話,6,37,
,0,6,38,
,3,6,39,
,（,6,40,
,5,6,41,
,8,6,42,
,4,6,43,
,7,6,44,
,）,6,45,
,2,6,46,
,7,6,47,
,7,6,48,
,7,6,49,
,（,6,50,
,代表,6,51,
,）,6,52,
,（,6,53,
,開示,6,54,
,事項,6,55,
,の,6,56,
,経過,6,57,
,報告,6,58,
,）,6,59,
,連結,6,60,
,子会社,6,61,
,の,6,62,
,異動,6,63,
,を,6,64,
,伴う,6,65,
,株式,6,66,
,譲渡,6,67,
,契約,6,68,
,締結,6,69,
,に関する,6,70,
,お知らせ,6,71,
,当社,6,72,
,は,6,73,
,本日,6,74,
,開催,6,75,
,の,6,76,
,取締役,6,77,
,会,6,78,
,において,6,79,
,、,6,80,
,2019,6,81,
,年,6,82,
,３月,6,83,
,25,6,84,
,日,6,85,
,付,6,86,
,「,6,87,
,連結,6,88,
,子会社,6,89,
,の,6,90,
,異動,6,91,
,（,6,92,
,株式,6,93,
,譲渡,6,94,
,）,6,95,
,に関する,6,96,
,基本,6,97,
,合意,6,98,
,契約,6,99,
,締結,6,100,
,に関する,6,101,
,お知らせ,6,102,
,」,6,103,
,にて,6,104,
,公表,6,105,
,し,6,106,
,た,6,107,
,通り,6,108,
,、,6,109,
,タイ,6,110,
,王国,6,111,
,・,6,112,
,フィリピン,6,113,
,共和,6,114,
,国,6,115,
,・,6,116,
,インドネシア,6,117,
,共和,6,118,
,国,6,119,
,の,6,120,
,連結,6,121,
,子会社,6,122,
,4,6,123,
,社,6,124,
,の,6,125,
,当社,6,126,
,が,6,127,
,保有,6,128,
,する,6,129,
,株式,6,130,
,の,6,131,
,80,6,132,
,％,6,133,
,を,6,134,
,レ,6,135,
,カム,6,136,
,株式会社,6,137,
,（,6,138,
,以下,6,139,
,、,6,140,
,「,6,141,
,レ,6,142,
,カム,6,143,
,社,6,144,
,」,6,145,
,と,6,146,
,いう,6,147,
,。,6,148,
,）,6,149,
,に,6,150,
,譲渡,6,151,
,する,6,152,
,こと,6,153,
,に関する,6,154,
,株式,6,155,
,譲渡,6,156,
,契約,6,157,
,書,6,158,
,の,6,159,
,締結,6,160,
,を,6,161,
,決議,6,162,
,いたし,6,163,
,まし,6,164,
,た,6,165,
,ので,6,166,
,、,6,167,
,下記,6,168,
,の,6,169,
,とおり,6,170,
,お知らせ,6,171,
,いたし,6,172,
,ます,6,173,
,。,6,174,
,記,6,175,
ソースネクスト 株式会社 と の 契約 締結 に関する お知らせ,ソースネクスト,7,0,1
,株式会社,7,1,
,と,7,2,
,の,7,3,
,契約,7,4,
,締結,7,5,
,に関する,7,6,
,お知らせ,7,7,
令 和 元年 5 月 15 日 会社 名 株式会社 ＦＦＲＩ 代表 者 名 代表 取締役 社長 鵜飼 裕司 （ コード 番号 ： 3692 東証 マザーズ ） 問合せ 先 常務 取締役 最高 財務 責任 者 田中 重樹 （ 0362771518 ） ソースネクスト 株式会社 と の 契約 締結 に関する お知らせ 各位 当社 は 本日 開催 の 取締役 会 において 、 次世代 エンドポイントセキュリティ 「 」 を 「 ウイルス セキュリティ 」 を 始め と し た 多く の ソフトウェア 販売 を 展開 する ソースネクスト 株式会社 （ 以下 、 ソースネクスト 社 ） と の 間 で 契約 を 締結 する こと を 決議 いたし まし た ので 、 下記 の 通り お知らせ いたし ます 。 記 １ ． 業務 提携 の 理由 ・ 内容 近年 の サイバー 攻撃 は 高度 化 ・ 巧妙 化 が 進み 、 ランサムウェア など 直接的 な 金銭 を 要求 する 攻撃 も 増加 し て い ます 。 また 、 比較的 セキュリティ の 緩い 下請け や 関連 企業 に 侵入 し 、,令,8,0,
,和,8,1,
,元年,8,2,
,5,8,3,
,月,8,4,
,15,8,5,
,日,8,6,
,会社,8,7,
,名,8,8,
,株式会社,8,9,
,ＦＦＲＩ,8,10,
,代表,8,11,
,者,8,12,
,名,8,13,
,代表,8,14,
,取締役,8,15,
,社長,8,16,
,鵜飼,8,17,
,裕司,8,18,
,（,8,19,
,コード,8,20,
,番号,8,21,
,：,8,22,
,3692,8,23,
,東証,8,24,
,マザーズ,8,25,
,）,8,26,
,問合せ,8,27,
,先,8,28,
,常務,8,29,
,取締役,8,30,
,最高,8,31,
,財務,8,32,
,責任,8,33,
,者,8,34,
,田中,8,35,
,重樹,8,36,
,（,8,37,
,362771518,8,38,
,）,8,39,
,ソースネクスト,8,40,1
,株式会社,8,41,
,と,8,42,
,の,8,43,
,契約,8,44,
,締結,8,45,
,に関する,8,46,
,お知らせ,8,47,
,各位,8,48,
,当社,8,49,
,は,8,50,
,本日,8,51,
,開催,8,52,
,の,8,53,
,取締役,8,54,
,会,8,55,
,において,8,56,
,、,8,57,
,次世代,8,58,
,エンドポイントセキュリティ,8,59,
,「,8,60,
,」,8,61,
,を,8,62,
,「,8,63,
,ウイルス,8,64,
,セキュリティ,8,65,
,」,8,66,
,を,8,67,
,始め,8,68,
,と,8,69,
,し,8,70,
,た,8,71,
,多く,8,72,
,の,8,73,
,ソフトウェア,8,74,
,販売,8,75,
,を,8,76,
,展開,8,77,
,する,8,78,
,ソースネクスト,8,79,1
,株式会社,8,80,
,（,8,81,
,以下,8,82,
,、,8,83,
,ソースネクスト,8,84,1
,社,8,85,
,）,8,86,
,と,8,87,
,の,8,88,
,間,8,89,
,で,8,90,
,契約,8,91,
,を,8,92,
,締結,8,93,
,する,8,94,
,こと,8,95,
,を,8,96,
,決議,8,97,
,いたし,8,98,
,まし,8,99,
,た,8,100,
,ので,8,101,
,、,8,102,
,下記,8,103,
,の,8,104,
,通り,8,105,
,お知らせ,8,106,
,いたし,8,107,
,ます,8,108,
,。,8,109,
,記,8,110,
,1,8,111,
,．,8,112,
,業務,8,113,
,提携,8,114,
,の,8,115,
,理由,8,116,
,・,8,117,
,内容,8,118,
,近年,8,119,
,の,8,120,
,サイバー,8,121,
,攻撃,8,122,
,は,8,123,
,高度,8,124,
,化,8,125,
,・,8,126,
,巧妙,8,127,
,化,8,128,
,が,8,129,
,進み,8,130,
,、,8,131,
,ランサムウェア,8,132,
,など,8,133,
,直接的,8,134,
,な,8,135,
,金銭,8,136,
,を,8,137,
,要求,8,138,
,する,8,139,
,攻撃,8,140,
,も,8,141,
,増加,8,142,
,し,8,143,
,て,8,144,
,い,8,145,
,ます,8,146,
,。,8,147,
,また,8,148,
,、,8,149,
,比較的,8,150,
,セキュリティ,8,151,
,の,8,152,
,緩い,8,153,
,下請け,8,154,
,や,8,155,
,関連,8,156,
,企業,8,157,
,に,8,158,
,侵入,8,159,
,し,8,160,
,、,8,161,
「 ネットイース 網 易 ニュース 」 の 正式 日本 総 代理 店 株式会社 と 戦略 的 業務 提携 を 締結 いたし まし た 。,「,9,0,
,ネットイース,9,1,1
,網,9,2,
,易,9,3,
,ニュース,9,4,
,」,9,5,
,の,9,6,
,正式,9,7,
,日本,9,8,
,総,9,9,
,代理,9,10,
,店,9,11,
,株式会社,9,12,
,と,9,13,
,戦略,9,14,
,的,9,15,
,業務,9,16,
,提携,9,17,
,を,9,18,
,締結,9,19,
,いたし,9,20,
,まし,9,21,
,た,9,22,
,。,9,23,
報道 関係 者 各位 2019 年 5 月 16 日 株式会社 ピアラ 58 億 人 が 利用 する 中国 メディア 「 ネットイース 網 易 ニュース 」 の 正式 日本 総 代理 店 株式会社 と 戦略 的 業務 提携 へ 越境 モール 「 」 において 商品 展開 が 可能 に 株式会社 ピアラ （ 本社 ： 東京 都 渋谷 区 、 代表 ： 飛鳥 貴雄 、 以下 「 ピアラ 」 ） は 、 中国 の 大手 インターネット サービス 企業 、 （ ネットイース 、 本社 ： 中国 杭州 市 、 ： 、 ディン ・ レイ 、 以下 「 ネットイース 」 ） の メディア 事業 、 「 ネットイースニュース 」 の 正式 日本 総 代理 店 で ある 株式会社 （ 本社 ： 東京 都 荒川 区 、 代表 ： 吉川 真樹 ） と 、 ビューティ ＆ ヘルス 及び 食品 領域 における 日本 の 良質 な 商品 を 中国 の 消費 者 に 提供 する ため 、 戦略 的 業務 提携 を 締結 し た こと を お知らせ いたし ます 。 ■ 戦略 的 業務 提携 の 背景 当社 は 20,報道,10,0,
,関係,10,1,
,者,10,2,
,各位,10,3,
,2019,10,4,
,年,10,5,
,5,10,6,
,月,10,7,
,16,10,8,
,日,10,9,
,株式会社,10,10,
,ピアラ,10,11,
,58,10,12,
,億,10,13,
,人,10,14,
,が,10,15,
,利用,10,16,
,する,10,17,
,中国,10,18,
,メディア,10,19,
,「,10,20,
,ネットイース,10,21,1
,網,10,22,
,易,10,23,
,ニュース,10,24,
,」,10,25,
,の,10,26,
,正式,10,27,
,日本,10,28,
,総,10,29,
,代理,10,30,
,店,10,31,
,株式会社,10,32,
,と,10,33,
,戦略,10,34,
,的,10,35,
,業務,10,36,
,提携,10,37,
,へ,10,38,
,越境,10,39,
,モール,10,40,
,「,10,41,
,」,10,42,
,において,10,43,
,商品,10,44,
,展開,10,45,
,が,10,46,
,可能,10,47,
,に,10,48,
,株式会社,10,49,
,ピアラ,10,50,
,（,10,51,
,本社,10,52,
,：,10,53,
,東京,10,54,
,都,10,55,
,渋谷,10,56,
,区,10,57,
,、,10,58,
,代表,10,59,
,：,10,60,
,飛鳥,10,61,
,貴雄,10,62,
,、,10,63,
,以下,10,64,
,「,10,65,
,ピアラ,10,66,
,」,10,67,
,）,10,68,
,は,10,69,
,、,10,70,
,中国,10,71,
,の,10,72,
,大手,10,73,
,インターネット,10,74,
,サービス,10,75,
,企業,10,76,
,、,10,77,
,（,10,78,
,ネットイース,10,79,1
,、,10,80,
,本社,10,81,
,：,10,82,
,中国,10,83,
,杭州,10,84,
,市,10,85,
,、,10,86,
,：,10,87,
,、,10,88,
,ディン,10,89,
,・,10,90,
,レイ,10,91,
,、,10,92,
,以下,10,93,
,「,10,94,
,ネットイース,10,95,1
,」,10,96,
,）,10,97,
,の,10,98,
,メディア,10,99,
,事業,10,100,
,、,10,101,
,「,10,102,
,ネットイースニュース,10,103,1
,」,10,104,
,の,10,105,
,正式,10,106,
,日本,10,107,
,総,10,108,
,代理,10,109,
,店,10,110,
,で,10,111,
,ある,10,112,
,株式会社,10,113,
,（,10,114,
,本社,10,115,
,：,10,116,
,東京,10,117,
,都,10,118,
,荒川,10,119,
,区,10,120,
,、,10,121,
,代表,10,122,
,：,10,123,
,吉川,10,124,
,真樹,10,125,
,）,10,126,
,と,10,127,
,、,10,128,
,ビューティ,10,129,
,＆,10,130,
,ヘルス,10,131,
,及び,10,132,
,食品,10,133,
,領域,10,134,
,における,10,135,
,日本,10,136,
,の,10,137,
,良質,10,138,
,な,10,139,
,商品,10,140,
,を,10,141,
,中国,10,142,
,の,10,143,
,消費,10,144,
,者,10,145,
,に,10,146,
,提供,10,147,
,する,10,148,
,ため,10,149,
,、,10,150,
,戦略,10,151,
,的,10,152,
,業務,10,153,
,提携,10,154,
,を,10,155,
,締結,10,156,
,し,10,157,
,た,10,158,
,こと,10,159,
,を,10,160,
,お知らせ,10,161,
,いたし,10,162,
,ます,10,163,
,。,10,164,
,■,10,165,
,戦略,10,166,
,的,10,167,
,業務,10,168,
,提携,10,169,
,の,10,170,
,背景,10,171,
,当社,10,172,
,は,10,173,
,20,10,174,
ミャンマー の 日本語 学校 「 」 と の 業務 提携 に関する お知らせ,ミャンマー,11,0,
,の,11,1,
,日本語,11,2,
,学校,11,3,
,「,11,4,
,」,11,5,
,と,11,6,
,の,11,7,
,業務,11,8,
,提携,11,9,
,に関する,11,10,
,お知らせ,11,11,
2019 年 ５月 16 日 会社 名 リネットジャパングループ 株式会社 代表 者 名 代表 取締役 社長 黒田 武志 問合せ 先 （ コード 番号 ： 3556 東証 マザーズ ） 取締役 管理 本部 長 山田 真澄 （ 0525892219 ） ミャンマー の 日本語 学校 「 」 と の 業務 提携 に関する お知らせ 各位 当社 は 2019 年 ５月 16 日 開催 の 取締役 会 において 、 ミャンマー の 日本語 学校 で ある 「 （ 以下 「 大志 専門 学校 」 という ） 」 と 人材 送出 し 事業 に関する 業務 提携 を 決議 致し まし た ので お知らせ し ます 。 １ ． 業務 提携 の 理由 当社 は 現在 、 カンボジア にて 外国 人 技能 実習 生 送出 し 事業 を 展開 中 です が 、 本年 ４月 より 改正 入管 法 が 施行 さ れ 、 今後 ５ 年間 で 最大 34 万 5000 人 の 受け入れ が 見込ま れる 中 、 各国 へ の 送出 し 事業 進出 ・ 拡大 を 目指し て い ます 。 そうした 中 、 この たび,2019,12,0,
,年,12,1,
,５月,12,2,
,16,12,3,
,日,12,4,
,会社,12,5,
,名,12,6,
,リネットジャパングループ,12,7,
,株式会社,12,8,
,代表,12,9,
,者,12,10,
,名,12,11,
,代表,12,12,
,取締役,12,13,
,社長,12,14,
,黒田,12,15,
,武志,12,16,
,問合せ,12,17,
,先,12,18,
,（,12,19,
,コード,12,20,
,番号,12,21,
,：,12,22,
,3556,12,23,
,東証,12,24,
,マザーズ,12,25,
,）,12,26,
,取締役,12,27,
,管理,12,28,
,本部,12,29,
,長,12,30,
,山田,12,31,
,真澄,12,32,
,（,12,33,
,525892219,12,34,
,）,12,35,
,ミャンマー,12,36,
,の,12,37,
,日本語,12,38,
,学校,12,39,
,「,12,40,
,」,12,41,
,と,12,42,
,の,12,43,
,業務,12,44,
,提携,12,45,
,に関する,12,46,
,お知らせ,12,47,
,各位,12,48,
,当社,12,49,
,は,12,50,
,2019,12,51,
,年,12,52,
,５月,12,53,
,16,12,54,
,日,12,55,
,開催,12,56,
,の,12,57,
,取締役,12,58,
,会,12,59,
,において,12,60,
,、,12,61,
,ミャンマー,12,62,
,の,12,63,
,日本語,12,64,
,学校,12,65,
,で,12,66,
,ある,12,67,
,「,12,68,
,（,12,69,
,以下,12,70,
,「,12,71,
,大志,12,72,1
,専門,12,73,1
,学校,12,74,1
,」,12,75,
,という,12,76,
,）,12,77,
,」,12,78,
,と,12,79,
,人材,12,80,
,送出,12,81,
,し,12,82,
,事業,12,83,
,に関する,12,84,
,業務,12,85,
,提携,12,86,
,を,12,87,
,決議,12,88,
,致し,12,89,
,まし,12,90,
,た,12,91,
,ので,12,92,
,お知らせ,12,93,
,し,12,94,
,ます,12,95,
,。,12,96,
,1,12,97,
,．,12,98,
,業務,12,99,
,提携,12,100,
,の,12,101,
,理由,12,102,
,当社,12,103,
,は,12,104,
,現在,12,105,
,、,12,106,
,カンボジア,12,107,
,にて,12,108,
,外国,12,109,
,人,12,110,
,技能,12,111,
,実習,12,112,
,生,12,113,
,送出,12,114,
,し,12,115,
,事業,12,116,
,を,12,117,
,展開,12,118,
,中,12,119,
,です,12,120,
,が,12,121,
,、,12,122,
,本年,12,123,
,４月,12,124,
,より,12,125,
,改正,12,126,
,入管,12,127,
,法,12,128,
,が,12,129,
,施行,12,130,
,さ,12,131,
,れ,12,132,
,、,12,133,
,今後,12,134,
,5,12,135,
,年間,12,136,
,で,12,137,
,最大,12,138,
,34,12,139,
,万,12,140,
,5000,12,141,
,人,12,142,
,の,12,143,
,受け入れ,12,144,
,が,12,145,
,見込ま,12,146,
,れる,12,147,
,中,12,148,
,、,12,149,
,各国,12,150,
,へ,12,151,
,の,12,152,
,送出,12,153,
,し,12,154,
,事業,12,155,
,進出,12,156,
,・,12,157,
,拡大,12,158,
,を,12,159,
,目指し,12,160,
,て,12,161,
,い,12,162,
,ます,12,163,
,。,12,164,
,そうした,12,165,
,中,12,166,
,、,12,167,
,この,12,168,
,たび,12,169,
【 ニュース 】 プログラム 開発 における 事業 提携 に関する 基本 合意 書 締結 の お知らせ 〜 ビッグ データ の 集積 ・ 解析 ・ 処理 の プラットフォーム の 構築 へ 〜,【,13,0,
,ニュース,13,1,
,】,13,2,
,プログラム,13,3,
,開発,13,4,
,における,13,5,
,事業,13,6,
,提携,13,7,
,に関する,13,8,
,基本,13,9,
,合意,13,10,
,書,13,11,
,締結,13,12,
,の,13,13,
,お知らせ,13,14,
,〜,13,15,
,ビッグ,13,16,
,データ,13,17,
,の,13,18,
,集積,13,19,
,・,13,20,
,解析,13,21,
,・,13,22,
,処理,13,23,
,の,13,24,
,プラットフォーム,13,25,
,の,13,26,
,構築,13,27,
,へ,13,28,
,〜,13,29,
